key,value,unit,source_name,source_url,pull_date,page_ref,reliability,status,note
indigo_yield_inr_per_rpk_fy2026,5.06,INR per RPK,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"Revenue and Cost Comparisons, full year Mar'26 table",H,CORRECTED_VERIFIED,"REBASED to FY2026 (year ended Mar'26): yield INR 5.06 per RPK, down 1.7 percent from FY2025's 5.15. Q4 FY26 alone was 5.20. Original sheet value was 5.33, which matched no published period; the closest figure is Q4 FY25 at 5.32."
indigo_rask_inr_per_ask_fy2026,4.99,INR per ASK,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"Revenue and Cost Comparisons, full year Mar'26 table",H,CORRECTED_VERIFIED,"REBASED to FY2026: RASK INR 4.99 per ASK, down 3.0 percent from FY2025's 5.14, net of finance income of INR 35,304 mn. Q4 FY26 was 5.30. Original value 4.51 was not RASK at all - it is IndiGo's Q4 FY25 CASK."
indigo_cask_inr_per_ask_fy2026,5.0,INR per ASK,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"Total expenses, full year Mar'26 CASK table",H,CORRECTED_VERIFIED,"REBASED to FY2026: CASK INR 5.00 per ASK, up 7.2 percent from FY2025's 4.66. This now sits ABOVE RASK of 4.99 - FY2026 unit economics are loss-making at the operating line as reported, driven by non-fuel cost up 27.8 percent while fuel cost fell 3.1 percent. That inversion is the headline of the cost bridge. Original value was 4.73."
indigo_cask_exfuel_inr_per_ask_fy2026,3.52,INR per ASK,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"Total expenses, full year Mar'26 CASK table",H,CORRECTED_VERIFIED,"REBASED to FY2026: CASK ex fuel INR 3.52 per ASK (FY2025: 3.00). Ex fuel ex forex is 3.00 versus 2.89 - so only about 0.11 of the 0.52 increase is genuine non-fuel inflation and the rest is forex. Use 3.00 ex-forex if the scenario runs a separate FX lever, otherwise you double-count. FY2026 fuel cost was INR 253,892 mn of total cost INR 896,775 mn. Original value was 3.20."
indigo_revenue_fy2025_inr_cr,80803.0,INR crore,"IndiGo Q4 & FY2025 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-reported-its-fourth-quarter-and-fiscal-year-2025-results.html,8/17/2026,"Revenue and Cost Comparisons, full year Mar'25 table",H,VERIFIED,"VERIFIED against the primary release: revenue from operations for year ended Mar'25 was INR 808,029 mn = INR 80,803 cr. Exact match. Total income including other income of INR 32,953 mn was INR 840,982 mn - use revenue from operations, not total income, for consistency with FY2026 in row 8."
indigo_operating_profit_fy2025_inr_cr,21252.0,INR crore,"IndiGo Q4 & FY2025 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-reported-its-fourth-quarter-and-fiscal-year-2025-results.html,8/17/2026,"FY2025 highlights, EBITDAR line",H,CORRECTED_VERIFIED,"METRIC REPLACED, not merely reverified. The old 18,050 cr was an aggregator convention IndiGo does not publish, so it was unverifiable by construction. Substituted with the company reported figure: EBITDAR of INR 212,520 mn = 21,252 cr, a 26.3 percent margin on revenue from operations. Net profit was INR 72,584 mn. Use EBITDAR margin as the profit pool anchor and state the definition on the chart."
indigo_revenue_fy2026_inr_cr,84962.0,INR crore,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"Revenue and Cost Comparisons, full year Mar'26 table",H,VERIFIED,"VERIFIED against the primary release: revenue from operations for year ended Mar'26 was INR 849,619 mn = INR 84,962 cr, up 5.1 percent. Exact match. Total income was INR 895,134 mn (+6.4 percent), helped by other income up 38 percent, so the revenue line understates reported growth."
indigo_operating_profit_fy2026_inr_cr,23189.0,INR crore,"IndiGo Q4 & FY2026 results press release (primary, company issued)",https://www.goindigo.in/press-releases/indigo-fy2026-capacity-and-income-growth.html,8/17/2026,"FY2026 highlights, EBITDAR excluding forex",H,CORRECTED_VERIFIED,"METRIC REPLACED. EBITDAR excluding forex of INR 231,889 mn = 23,189 cr, a 27.3 percent margin, UP from 26.3 percent in FY2025. The margin did not halve; the earlier claim that it did is retracted in docs/methodology.md. The reported full-year net loss of about INR 23,936 mn is non-operating: a Q4 forex loss near INR 48,230 mn on USD lease liabilities plus an exceptional labour-code provision of INR 2,499 mn."
indigo_ebitdar_margin_fy2026_reported_pct,17.8,percent,"InterGlobe Aviation (IndiGo) Annual Report FY26, Financial highlights (primary, company issued)",https://www.goindigo.in/content/dam/s6web/in/en/assets/investor-relations/policies/2026/annual_report_FY26.pdf,2026-08-17,"Financial highlights table, EBITDAR Margin line, year ended March 31 2026",H,VERIFIED,"AS REPORTED, and it must be published alongside the 27.3 percent ex-forex figure in indigo_operating_profit_fy2026_inr_cr, never instead of it and never without it. IndiGo's own table: EBITDAR margin 17.8 percent FY26 against 26.3 percent FY25, a fall of 8.5 points. The 27.3 percent ex-forex number is real and is the right anchor for a PROFIT POOL, because forex on USD lease liabilities is not an operating item. But 17.8 percent is what the company actually reported, and the gap between them is about 9.5 points of revenue. Quoting only the ex-forex figure would repeat, in the opposite direction, the error retracted in docs/methodology.md: that retraction was for treating a non-operating collapse as an operating one, and the symmetric mistake is treating an operating improvement as the whole story. State both, state which is which, and say why the profit pool uses ex-forex. Cross-checks: the same table gives net profit margin -2.8 percent FY26 against 9.0 percent FY25, and each of the four rows reconciles with its own published change in points."
air_india_yield_inr_per_rpk,,INR per RPK,Not publicly filed,,8/17/2026,,L,NOT_AVAILABLE,Air India is unlisted and files no exchange results. Partial visibility only via Singapore Airlines 25.1 percent stake disclosures. Long haul yield must be proxied and the proxy labelled on the chart.
